Currency Outside Commercial Banks,Demand Deposits ,Quasi Money ,Money Supply (M1),Money Supply (M2),Date
1202.6,3810.1,5012.7,8951.5,13964.2,2015-01-01
1211.9,3657.3,4869.2,9231.2,14100.4,2015-02-01
1216.2,4058.8,5275.0,9116.7,14391.7,2015-03-01
1229.1,3934.6,5163.7,9051.7,14215.4,2015-04-01
1246.0,4234.3,5480.3,9319.5,14799.8,2015-05-01
1261.6,4139.9,5401.5,9354.4,14755.9,2015-06-01
1290.3,4078.1,5368.4,9405.5,14773.9,2015-07-01
1238.3,4018.5,5256.8,9361.5,14618.3,2015-08-01
1282.3,3959.3,5241.6,9478.5,14720.1,2015-09-01
1285.7,3997.6,5283.3,9627.5,14910.8,2015-10-01
1333.7,4018.0,5351.7,9562.4,14914.1,2015-11-01
1395.3,3973.0,5368.3,9777.4,15145.7,2015-12-01
1348.0,3975.3,5323.3,9868.8,15192.1,2016-01-01
1292.4,3907.7,5200.1,10016.7,15216.8,2016-02-01
1314.7,4109.3,5424.0,10103.0,15526.9,2016-03-01
1331.8,4060.4,5392.2,10308.5,15700.7,2016-04-01
1316.3,3988.1,5304.4,10179.0,15483.4,2016-05-01
1369.3,3985.5,5354.8,10190.6,15545.4,2016-06-01
1310.4,4092.0,5402.3,10405.7,15808.0,2016-07-01
1298.8,3891.7,5190.5,10812.4,16002.9,2016-08-01
1316.0,3837.9,5154.0,10385.7,15539.7,2016-09-01
1294.2,3826.9,5121.1,10363.1,15484.2,2016-10-01
1285.8,3774.3,5060.1,10543.5,15603.6,2016-11-01
1299.4,3679.4,4978.8,10444.9,15423.7,2016-12-01
1274.2,3688.6,4962.7,10624.5,15587.2,2017-01-01
1281.8,3718.5,5000.3,10813.0,15813.3,2017-02-01
1300.6,3827.7,5128.3,10873.8,16002.1,2017-03-01
1296.5,3915.4,5211.9,10856.2,16068.1,2017-04-01
1299.6,3930.6,5230.2,10891.8,16122.0,2017-05-01
1487.6,3936.7,5424.3,10706.4,16130.7,2017-06-01
1271.9,3795.6,5067.5,10902.1,15969.6,2017-07-01
1348.8,3775.7,5124.5,11004.9,16129.4,2017-08-01
1282.7,3754.5,5037.2,11071.8,16109.0,2017-09-01
1258.0,3767.2,5025.2,11030.2,16055.4,2017-10-01
1282.8,3707.2,4990.0,11156.9,16146.9,2017-11-01
1266.2,3674.3,4940.5,11128.2,16068.7,2017-12-01
1258.9,3780.8,5039.6,11250.3,16289.9,2018-01-01
1264.3,3699.5,4963.8,11407.5,16371.3,2018-02-01
1286.5,3998.0,5284.5,11160.1,16444.6,2018-03-01
1273.5,3999.0,5272.5,10963.6,16236.1,2018-04-01
1289.6,3976.1,5265.7,11216.8,16482.5,2018-05-01
1310.8,3944.4,5255.3,11363.3,16618.6,2018-06-01
1247.4,3823.8,5071.2,11392.0,16463.2,2018-07-01
1269.4,3869.1,5138.4,11378.6,16517.0,2018-08-01
1237.8,3839.8,5077.6,11453.3,16530.9,2018-09-01
1233.7,3809.7,5043.5,11615.8,16659.2,2018-10-01
1249.1,3965.5,5214.6,11677.7,16892.3,2018-11-01
1241.9,3688.3,4930.2,12470.2,17400.3,2018-12-01
1237.5,3651.6,4889.1,11788.5,16677.7,2019-01-01
1274.3,3744.8,5019.1,11773.7,16792.9,2019-02-01
1276.2,3835.6,5111.8,11998.2,17110.1,2019-03-01
1287.6,3746.9,5034.5,12040.9,17075.4,2019-04-01
1372.2,3815.4,5187.6,12062.3,17250.0,2019-05-01
1305.2,3954.3,5259.5,12016.3,17275.7,2019-06-01
1252.2,3922.5,5174.7,12156.0,17330.7,2019-07-01
1245.7,3874.2,5119.9,12133.9,17253.8,2019-08-01
1222.6,3812.9,5035.5,12355.7,17391.2,2019-09-01
1226.4,3804.0,5030.4,12494.5,17524.9,2019-10-01
1272.5,3769.0,5041.5,12369.2,17410.8,2019-11-01
1244.8,4099.1,5343.9,12407.8,17751.7,2019-12-01
1257.7,4101.8,5359.5,12562.1,17921.6,2020-01-01
1273.8,3954.7,5228.5,12780.1,18008.6,2020-02-01
1336.9,4302.7,5639.6,13213.8,18853.5,2020-03-01
1434.0,4236.3,5670.3,13265.4,18935.7,2020-04-01
1491.3,4243.9,5735.2,13303.8,19039.0,2020-05-01
