Date,Interest Rate,Item,value
2020-03-01,Over 20%,Total Lending (R.O. + Fcy.) - %,0.0
2020-03-01,Over 8% TO 9%,Total Foreign Currency Lending - %,0.0
2020-03-01,Over 8% TO 9%,Total Foreign Currency Lending - Amount,10.0
2020-03-01,Over 8% TO 9%,Total Foreign Currency Lending - %,0.2
2020-03-01,Over 8% TO 9%,Total Foreign Currency Lending - No of A/Cs,8.0
2020-03-01,Over 8% TO 9%,Total R.O. Lending - %,0.9
2020-03-01,Over 8% TO 9%,Total R.O. Lending - Amount,172461.0
2020-03-01,Over 8% TO 9%,Total R.O. Lending - %,1.0
2020-03-01,Over 8% TO 9%,Total R.O. Lending - No of A/Cs,8.206
2020-03-01,Over 7% TO 8%,Total Lending (R.O. + Fcy.) - %,6.4
2020-03-01,Over 7% TO 8%,Total Lending (R.O. + Fcy.) - Amount,1425262.0
2020-03-01,Over 7% TO 8%,Total Lending (R.O. + Fcy.) - %,17.0
2020-03-01,Over 7% TO 8%,Total Lending (R.O. + Fcy.) - No of A/Cs,136630.0
2020-03-01,Over 7% TO 8%,Total Foreign Currency Lending - %,0.0
2020-03-01,Over 7% TO 8%,Total Foreign Currency Lending - Amount,1615.0
2020-03-01,Over 7% TO 8%,Total Foreign Currency Lending - %,44.6
2020-03-01,Over 7% TO 8%,Total Foreign Currency Lending - No of A/Cs,1630.0
2020-03-01,Over 7% TO 8%,Total R.O. Lending - %,7.7
2020-03-01,Over 7% TO 8%,Total R.O. Lending - Amount,1423647.0
2020-03-01,Over 7% TO 8%,Total R.O. Lending - %,16.9
2020-03-01,Over 7% TO 8%,Total R.O. Lending - No of A/Cs,135.0
2020-03-01,Over 5% TO 7%,Total Lending (R.O. + Fcy.) - %,49.8
2020-03-01,Over 5% TO 7%,Total Lending (R.O. + Fcy.) - Amount,11119402.0
2020-03-01,Over 5% TO 7%,Total Lending (R.O. + Fcy.) - %,46.8
2020-03-01,Over 8% TO 9%,Total Lending (R.O. + Fcy.) - No of A/Cs,8214.0
2020-03-01,Over 5% TO 7%,Total Lending (R.O. + Fcy.) - No of A/Cs,375441.0
